id,firstname,lastname,gender,phone,email,username,password,dob,priviledge
1,Lucy,Gardner,female,(667)-152-5824,lucy.gardner@example.com,orangegoose209,sheba,1962-04-27,2
2,Kent,Fleming,male,(114)-002-4737,kent.fleming@example.com,organicbird193,cannon,1951-08-24,2
3,Kevin,Douglas,male,(371)-953-3539,kevin.douglas@example.com,lazygoose827,1995,1956-03-19,2
4,Evan,Rice,male,(491)-171-1191,evan.rice@example.com,organicelephant787,meng,1945-08-08,2
5,Daryl,Wood,male,(968)-194-3796,daryl.wood@example.com,blackfrog134,george,1946-06-10,2
6,Tyler,Turner,male,(041)-183-9361,tyler.turner@example.com,goldenkoala263,charlie123,1973-03-23,2
7,Patrick,Schmidt,male,(417)-454-5313,patrick.schmidt@example.com,goldengorilla685,redsox1,1962-04-23,2
8,Kathryn,Torres,female,(560)-994-5676,kathryn.torres@example.com,goldenbear246,dodgers1,1948-11-05,1
9,Courtney,Davidson,female,(330)-572-8853,courtney.davidson@example.com,tinyostrich567,skirt,1980-09-17,1
10,Vivan,Ramirez,female,(333)-283-1135,vivan.ramirez@example.com,ticklishbutterfly235,casper,1998-06-27,2
11,Joann,Hawkins,female,(311)-198-6781,joann.hawkins@example.com,purplekoala993,camaro,1967-05-06,2
12,Joshua,Bailey,male,(370)-971-2310,joshua.bailey@example.com,blackrabbit332,yellow,1977-02-07,2
13,Laurie,Daniels,female,(806)-059-1195,laurie.daniels@example.com,happybear314,henry1,1990-06-09,1
14,Lena,Miller,female,(980)-951-9897,lena.miller@example.com,angrybear572,sponge,1969-07-03,1
15,Robert,Olson,male,(000)-413-0807,robert.olson@example.com,beautifulmouse464,hetfield,1968-04-11,2
16,Salvador,Parker,male,(354)-363-8520,salvador.parker@example.com,angrywolf900,claire,1978-12-05,2
17,Pearl,Hunter,female,(062)-323-1906,pearl.hunter@example.com,brownzebra858,overlord,1979-07-22,2
18,Herminia,Jennings,female,(229)-424-6031,herminia.jennings@example.com,blackbird340,dallas,1955-06-02,2
19,Pauline,Murphy,female,(491)-762-6984,pauline.murphy@example.com,greentiger668,112233,1973-06-06,2
20,Peter,Bishop,male,(093)-456-0940,peter.bishop@example.com,silverostrich913,pulsar,1980-06-05,2
21,Brittany,Brooks,female,(585)-095-6078,brittany.brooks@example.com,happywolf201,123456,1989-07-17,2
22,Marian,Ramirez,female,(036)-387-3556,marian.ramirez@example.com,greenswan262,2323,1958-03-06,2
23,Janet,Oliver,female,(026)-910-5882,janet.oliver@example.com,bluelion898,jonathon,1965-09-26,1
24,Margie,Diaz,female,(011)-079-2988,margie.diaz@example.com,redswan672,striker,1962-01-26,2
